name,pickupTime,seatCount,pickupStation,dropoffStation
Customer_302,12:00:00 AM,3,Stop 2,Stop 30
Customer_303,12:01:56 AM,1,Stop 1,Stop 12
Customer_304,12:03:52 AM,3,Stop 8,Stop 30
Customer_305,12:05:48 AM,1,Stop 28,Stop 27
Customer_306,12:07:44 AM,1,Stop 9,Stop 10
Customer_307,12:09:40 AM,1,Stop 23,Stop 16
Customer_308,12:11:36 AM,2,Stop 28,Stop 12
Customer_309,12:13:32 AM,1,Stop 16,Stop 15
Customer_310,12:15:28 AM,1,Stop 21,Stop 2
Customer_311,12:17:24 AM,1,Stop 4,Stop 11
Customer_312,12:19:20 AM,1,Stop 5,Stop 9
Customer_313,12:21:16 AM,1,Stop 19,Stop 12
Customer_314,12:23:12 AM,2,Stop 27,Stop 26
Customer_315,12:25:08 AM,1,Stop 29,Stop 8
Customer_316,12:27:04 AM,1,Stop 14,Stop 1
Customer_317,12:29:00 AM,1,Stop 31,Stop 2
Customer_318,12:30:56 AM,2,Stop 24,Stop 31
Customer_319,12:32:52 AM,1,Stop 30,Stop 16
Customer_320,12:34:48 AM,1,Stop 31,Stop 3
Customer_321,12:36:44 AM,1,Stop 21,Stop 26
Customer_322,12:38:40 AM,1,Stop 2,Stop 21
Customer_323,12:40:36 AM,1,Stop 18,Stop 1
Customer_324,12:42:32 AM,2,Stop 6,Stop 11
Customer_325,12:44:28 AM,1,Stop 3,Stop 12
Customer_326,12:46:24 AM,1,Stop 24,Stop 15
Customer_327,12:48:20 AM,1,Stop 2,Stop 10
Customer_328,12:50:16 AM,1,Stop 11,Stop 7
Customer_329,12:52:12 AM,4,Stop 12,Stop 23
Customer_330,12:54:08 AM,3,Stop 32,Stop 8
Customer_331,12:56:04 AM,1,Stop 17,Stop 9
Customer_332,12:58:00 AM,1,Stop 16,Stop 5
