name,pickupTime,seatCount,pickupStation,dropoffStation
Customer_391,12:00:00 AM,2,Stop 10,Stop 11
Customer_392,12:01:30 AM,3,Stop 32,Stop 12
Customer_393,12:03:00 AM,1,Stop 10,Stop 15
Customer_394,12:04:30 AM,1,Stop 30,Stop 24
Customer_395,12:06:00 AM,1,Stop 32,Stop 6
Customer_396,12:07:30 AM,2,Stop 3,Stop 9
Customer_397,12:09:00 AM,1,Stop 31,Stop 12
Customer_398,12:10:30 AM,1,Stop 20,Stop 16
Customer_399,12:12:00 AM,1,Stop 24,Stop 28
Customer_400,12:13:30 AM,1,Stop 2,Stop 10
Customer_401,12:15:00 AM,1,Stop 21,Stop 12
Customer_402,12:16:30 AM,1,Stop 22,Stop 32
Customer_403,12:18:00 AM,1,Stop 29,Stop 22
Customer_404,12:19:30 AM,4,Stop 1,Stop 27
Customer_405,12:21:00 AM,3,Stop 18,Stop 12
Customer_406,12:22:30 AM,1,Stop 8,Stop 2
Customer_407,12:24:00 AM,1,Stop 11,Stop 4
Customer_408,12:25:30 AM,1,Stop 20,Stop 11
Customer_409,12:27:00 AM,3,Stop 19,Stop 15
Customer_410,12:28:30 AM,1,Stop 28,Stop 23
Customer_411,12:30:00 AM,1,Stop 11,Stop 29
Customer_412,12:31:30 AM,2,Stop 19,Stop 12
Customer_413,12:33:00 AM,1,Stop 32,Stop 12
Customer_414,12:34:30 AM,2,Stop 5,Stop 12
Customer_415,12:36:00 AM,5,Stop 2,Stop 9
Customer_416,12:37:30 AM,1,Stop 31,Stop 16
Customer_417,12:39:00 AM,1,Stop 8,Stop 12
Customer_418,12:40:30 AM,1,Stop 22,Stop 12
Customer_419,12:42:00 AM,1,Stop 23,Stop 28
Customer_420,12:43:30 AM,2,Stop 30,Stop 21
Customer_421,12:45:00 AM,3,Stop 5,Stop 12
Customer_422,12:46:30 AM,1,Stop 21,Stop 29
Customer_423,12:48:00 AM,1,Stop 9,Stop 30
Customer_424,12:49:30 AM,1,Stop 1,Stop 20
Customer_425,12:51:00 AM,2,Stop 4,Stop 24
Customer_426,12:52:30 AM,1,Stop 12,Stop 10
Customer_427,12:54:00 AM,3,Stop 8,Stop 16
Customer_428,12:55:30 AM,1,Stop 26,Stop 27
Customer_429,12:57:00 AM,3,Stop 29,Stop 25
Customer_430,12:58:30 AM,1,Stop 17,Stop 31
