name,pickupTime,seatCount,pickupStation,dropoffStation
Customer_333,12:00:00 AM,1,Stop 1,Stop 30
Customer_334,12:01:02 AM,3,Stop 11,Stop 1
Customer_335,12:02:04 AM,1,Stop 22,Stop 2
Customer_336,12:03:06 AM,1,Stop 9,Stop 14
Customer_337,12:04:08 AM,2,Stop 30,Stop 12
Customer_338,12:05:10 AM,1,Stop 29,Stop 30
Customer_339,12:06:12 AM,2,Stop 31,Stop 11
Customer_340,12:07:14 AM,5,Stop 28,Stop 27
Customer_341,12:08:16 AM,1,Stop 23,Stop 31
Customer_342,12:09:18 AM,1,Stop 8,Stop 28
Customer_343,12:10:20 AM,1,Stop 13,Stop 11
Customer_344,12:11:22 AM,1,Stop 18,Stop 12
Customer_345,12:12:24 AM,2,Stop 8,Stop 15
Customer_346,12:13:26 AM,3,Stop 21,Stop 2
Customer_347,12:14:28 AM,1,Stop 21,Stop 24
Customer_348,12:15:30 AM,3,Stop 24,Stop 10
Customer_349,12:16:32 AM,1,Stop 14,Stop 11
Customer_350,12:17:34 AM,3,Stop 21,Stop 12
Customer_351,12:18:36 AM,1,Stop 29,Stop 10
Customer_352,12:19:38 AM,1,Stop 27,Stop 32
Customer_353,12:20:40 AM,1,Stop 22,Stop 11
Customer_354,12:21:42 AM,2,Stop 29,Stop 16
Customer_355,12:22:44 AM,1,Stop 17,Stop 11
Customer_356,12:23:46 AM,1,Stop 18,Stop 12
Customer_357,12:24:48 AM,1,Stop 30,Stop 26
Customer_358,12:25:50 AM,1,Stop 32,Stop 7
Customer_359,12:26:52 AM,1,Stop 6,Stop 30
Customer_360,12:27:54 AM,2,Stop 21,Stop 3
Customer_361,12:28:56 AM,1,Stop 1,Stop 17
Customer_362,12:29:58 AM,1,Stop 21,Stop 10
Customer_363,12:31:00 AM,1,Stop 5,Stop 11
Customer_364,12:32:02 AM,2,Stop 6,Stop 12
Customer_365,12:33:04 AM,1,Stop 29,Stop 3
Customer_366,12:34:06 AM,1,Stop 22,Stop 18
Customer_367,12:35:08 AM,1,Stop 1,Stop 31
Customer_368,12:36:10 AM,1,Stop 9,Stop 11
Customer_369,12:37:12 AM,1,Stop 11,Stop 12
Customer_370,12:38:14 AM,2,Stop 11,Stop 15
Customer_371,12:39:16 AM,1,Stop 30,Stop 27
Customer_372,12:40:18 AM,1,Stop 31,Stop 10
Customer_373,12:41:20 AM,1,Stop 14,Stop 9
Customer_374,12:42:22 AM,1,Stop 23,Stop 11
Customer_375,12:43:24 AM,4,Stop 19,Stop 11
Customer_376,12:44:26 AM,3,Stop 19,Stop 12
Customer_377,12:45:28 AM,1,Stop 23,Stop 31
Customer_378,12:46:30 AM,1,Stop 21,Stop 15
Customer_379,12:47:32 AM,1,Stop 4,Stop 17
Customer_380,12:48:34 AM,3,Stop 21,Stop 10
Customer_381,12:49:36 AM,1,Stop 27,Stop 3
Customer_382,12:50:38 AM,1,Stop 29,Stop 32
Customer_383,12:51:40 AM,2,Stop 1,Stop 12
Customer_384,12:52:42 AM,1,Stop 9,Stop 11
Customer_385,12:53:44 AM,2,Stop 23,Stop 12
Customer_386,12:54:46 AM,5,Stop 4,Stop 16
Customer_387,12:55:48 AM,1,Stop 2,Stop 11
Customer_388,12:56:50 AM,1,Stop 17,Stop 12
Customer_389,12:57:52 AM,1,Stop 24,Stop 12
Customer_390,12:58:54 AM,1,Stop 22,Stop 21
