name,pickupTime,seatCount,pickupStation,dropoffStation
Customer_523,12:00:00 AM,1,Stop 11,Stop 16
Customer_524,12:01:40 AM,1,Stop 12,Stop 16
Customer_525,12:03:20 AM,1,Stop 13,Stop 29
Customer_526,12:05:00 AM,4,Stop 24,Stop 4
Customer_527,12:06:40 AM,3,Stop 15,Stop 10
Customer_528,12:08:20 AM,1,Stop 31,Stop 3
Customer_529,12:10:00 AM,1,Stop 12,Stop 22
Customer_530,12:11:40 AM,1,Stop 1,Stop 10
Customer_531,12:13:20 AM,3,Stop 2,Stop 3
Customer_532,12:15:00 AM,1,Stop 4,Stop 26
Customer_533,12:16:40 AM,1,Stop 10,Stop 27
Customer_534,12:18:20 AM,2,Stop 16,Stop 29
Customer_535,12:20:00 AM,1,Stop 27,Stop 22
Customer_536,12:21:40 AM,2,Stop 11,Stop 12
Customer_537,12:23:20 AM,5,Stop 1,Stop 6
Customer_538,12:25:00 AM,1,Stop 12,Stop 2
Customer_539,12:26:40 AM,1,Stop 22,Stop 5
Customer_540,12:28:20 AM,1,Stop 8,Stop 24
Customer_541,12:30:00 AM,1,Stop 30,Stop 23
Customer_542,12:31:40 AM,2,Stop 14,Stop 32
Customer_543,12:33:20 AM,3,Stop 8,Stop 21
Customer_544,12:35:00 AM,1,Stop 29,Stop 30
Customer_545,12:36:40 AM,1,Stop 1,Stop 31
Customer_546,12:38:20 AM,1,Stop 4,Stop 3
Customer_547,12:40:00 AM,2,Stop 11,Stop 26
Customer_548,12:41:40 AM,1,Stop 1,Stop 18
Customer_549,12:43:20 AM,1,Stop 2,Stop 9
Customer_550,12:45:00 AM,1,Stop 25,Stop 24
Customer_551,12:46:40 AM,1,Stop 28,Stop 4
Customer_552,12:48:20 AM,1,Stop 32,Stop 2
Customer_553,12:50:00 AM,3,Stop 15,Stop 2
Customer_554,12:51:40 AM,1,Stop 23,Stop 13
Customer_555,12:53:20 AM,1,Stop 9,Stop 27
Customer_556,12:55:00 AM,1,Stop 31,Stop 12
Customer_557,12:56:40 AM,3,Stop 2,Stop 21
Customer_558,12:58:20 AM,1,Stop 11,Stop 27
