name,pickupTime,seatCount,pickupStation,dropoffStation
Customer_147,12:00:00 AM,2,Stop 26,Stop 2
Customer_148,12:02:13 AM,1,Stop 9,Stop 16
Customer_149,12:04:26 AM,1,Stop 24,Stop 27
Customer_150,12:06:39 AM,1,Stop 12,Stop 9
Customer_151,12:08:52 AM,1,Stop 18,Stop 1
Customer_152,12:11:05 AM,1,Stop 30,Stop 4
Customer_153,12:13:18 AM,2,Stop 15,Stop 2
Customer_154,12:15:31 AM,1,Stop 11,Stop 28
Customer_155,12:17:44 AM,1,Stop 27,Stop 22
Customer_156,12:19:57 AM,1,Stop 1,Stop 29
Customer_157,12:22:10 AM,1,Stop 10,Stop 24
Customer_158,12:24:23 AM,4,Stop 14,Stop 32
Customer_159,12:26:36 AM,3,Stop 3,Stop 23
Customer_160,12:28:49 AM,1,Stop 24,Stop 1
Customer_161,12:31:02 AM,3,Stop 12,Stop 26
Customer_162,12:33:15 AM,1,Stop 21,Stop 2
Customer_163,12:35:28 AM,3,Stop 14,Stop 3
Customer_164,12:37:41 AM,1,Stop 17,Stop 23
Customer_165,12:39:54 AM,1,Stop 7,Stop 26
Customer_166,12:42:07 AM,1,Stop 2,Stop 27
Customer_167,12:44:20 AM,2,Stop 5,Stop 31
Customer_168,12:46:33 AM,1,Stop 11,Stop 26
Customer_169,12:48:46 AM,1,Stop 7,Stop 1
Customer_170,12:50:59 AM,1,Stop 6,Stop 24
Customer_171,12:53:12 AM,1,Stop 28,Stop 32
Customer_172,12:55:25 AM,1,Stop 9,Stop 2
Customer_173,12:57:38 AM,2,Stop 5,Stop 4
