name,pickupTime,seatCount,pickupStation,dropoffStation
Customer_243,12:00:00 AM,1,Stop 28,Stop 4
Customer_244,12:03:00 AM,2,Stop 30,Stop 4
Customer_245,12:06:00 AM,3,Stop 2,Stop 24
Customer_246,12:09:00 AM,1,Stop 31,Stop 6
Customer_247,12:12:00 AM,1,Stop 7,Stop 21
Customer_248,12:15:00 AM,1,Stop 9,Stop 17
Customer_249,12:18:00 AM,2,Stop 12,Stop 18
Customer_250,12:21:00 AM,1,Stop 15,Stop 10
Customer_251,12:24:00 AM,1,Stop 25,Stop 23
Customer_252,12:27:00 AM,1,Stop 8,Stop 31
Customer_253,12:30:00 AM,1,Stop 25,Stop 14
Customer_254,12:33:00 AM,1,Stop 23,Stop 30
Customer_255,12:36:00 AM,2,Stop 11,Stop 6
Customer_256,12:39:00 AM,1,Stop 32,Stop 28
Customer_257,12:42:00 AM,1,Stop 4,Stop 27
Customer_258,12:45:00 AM,1,Stop 3,Stop 1
Customer_259,12:48:00 AM,1,Stop 27,Stop 30
Customer_260,12:51:00 AM,4,Stop 23,Stop 14
Customer_261,12:54:00 AM,3,Stop 3,Stop 16
Customer_262,12:57:00 AM,1,Stop 21,Stop 9
