name,pickupTime,seatCount,pickupStation,dropoffStation
Customer_559,12:00:00 AM,1,Stop 2,Stop 30
Customer_560,12:02:24 AM,2,Stop 9,Stop 23
Customer_561,12:04:48 AM,1,Stop 11,Stop 22
Customer_562,12:07:12 AM,2,Stop 21,Stop 16
Customer_563,12:09:36 AM,5,Stop 29,Stop 16
Customer_564,12:12:00 AM,1,Stop 1,Stop 11
Customer_565,12:14:24 AM,1,Stop 32,Stop 16
Customer_566,12:16:48 AM,1,Stop 24,Stop 10
Customer_567,12:19:12 AM,1,Stop 4,Stop 8
Customer_568,12:21:36 AM,2,Stop 2,Stop 18
Customer_569,12:24:00 AM,3,Stop 27,Stop 21
Customer_570,12:26:24 AM,1,Stop 9,Stop 11
Customer_571,12:28:48 AM,1,Stop 28,Stop 12
Customer_572,12:31:12 AM,1,Stop 16,Stop 2
Customer_573,12:33:36 AM,2,Stop 26,Stop 28
Customer_574,12:36:00 AM,1,Stop 31,Stop 25
Customer_575,12:38:24 AM,1,Stop 16,Stop 23
Customer_576,12:40:48 AM,1,Stop 2,Stop 15
Customer_577,12:43:12 AM,1,Stop 1,Stop 10
Customer_578,12:45:36 AM,1,Stop 17,Stop 24
Customer_579,12:48:00 AM,2,Stop 2,Stop 8
Customer_580,12:50:24 AM,3,Stop 32,Stop 27
Customer_581,12:52:48 AM,1,Stop 25,Stop 10
Customer_582,12:55:12 AM,5,Stop 23,Stop 17
Customer_583,12:57:36 AM,3,Stop 20,Stop 9
